Lynx,Hare
20.000000000000004,34.0
20.1237680326689,33.41355488651942
19.961742972996014,32.85595929364798
19.591711245866314,32.55947525647074
19.176490764049454,32.636080285508115
18.8850002021846,33.04972719396124
18.830675363640676,33.63676519812132
19.03764362954746,34.159063667099424
19.42894820758623,34.38997516190328
19.843521388251776,34.218833797630325
20.09752599954175,33.7180053421123
20.075295807548784,33.112671750653575
19.79165213528705,32.664403827186796
19.37690104274496,32.5517593834762
19.005988257224868,32.81136179168713
18.825305625337705,33.338281894175836
18.905926720001748,33.92309831519199
19.221093488957603,34.32114492973898
19.646961224130145,34.35207985308612
20.00068368919352,33.99454109683199
20.121929859898092,33.40840461030992
19.957687256337497,32.85373123419084
19.587546210776345,32.561436276969104
19.174195287267448,32.64137629815061
18.885498602435252,33.056050466985
18.833795368900304,33.641525185081456
19.042237807160138,34.16015989900197
19.433184112370423,34.38672186352252
19.845548314152722,34.21240525956117
20.096289009909317,33.711265275796094
20.071346852347443,33.1085671860625
19.786791350779765,32.66455235889708
19.373192472496974,32.55594691772736
19.00488187651934,32.817869635166545
18.827191311498996,33.34451667648618
18.910086925741215,33.92647473377505
19.225887890994073,34.320095822982445
19.650345480038542,34.34693703065188
20.001098340608667,33.98755791060556
20.119162555713423,33.402699202339804
19.953015075376733,32.851688410537875
19.583040697570382,32.563752070024364
19.17168451332221,32.64701659569971
18.885923025572673,33.06275739912388
18.836977684837482,33.64659150091143
19.04695873398848,34.16139300671336
19.437508717639158,34.38343779407478
19.847559225106686,34.205969163732405
20.095022711621137,33.70456055444503
20.067392397518173,33.10450766761171
19.78194600016793,32.66473891856163
19.36951442905439,32.56015337783021
19.003805423622044,32.824369402981304
18.829096099768133,33.350718205853006
18.91424886466259,33.929804826622586
19.2306651938796,34.31900864203606
19.653697195887258,34.34178345781834
20.001481914987426,33.98059289463605
20.116378747375506,33.397034127654095
19.9483492665743,32.84968896726476
19.578558635121816,32.56609789100176
19.169203615929117,32.65266098609349
18.886373330060845,33.06944263171978
18.840171685708068,33.651617057281904
19.051671731135862,34.16258204430399
19.441807902144337,34.38012566523962
19.84953666101644,34.19953694182928
20.093731137566603,33.69788700285547
20.063434822196374,33.10049294532364
19.777116294899074,32.66496412258689
19.36586517867634,32.56437771483313
19.002758309905133,32.83086006530078
18.831020530078128,33.356887061544484
18.918412568315077,33.933089487191246
19.235425033913206,34.3178833362235
19.657017068739133,34.33661733885581
20.00183463316984,33.97364640618504
20.11357847687082,33.3914098466835
19.943690073123896,32.8477328287447
19.574100194621998,32.56847338244112
19.166752686874123,32.65830896928757
18.886849366321467,33.07610596332518
18.84337715130238,33.6566018673548
19.056376540599146,34.163727027832415
19.44608159371828,34.37678582615886
19.851480543910633,34.19310927833406
20.092414507948877,33.69124478926019
20.059474316908776,33.09652310408325
19.772302438528957,32.66522769324278
19.362258633434713,32.568567872904154
19.001711634184524,32.837216094984896
18.83284995491251,33.36292328265026
18.922401477786714,33.9363113966428
19.239993597167924,34.3168433589439
19.660170091288283,34.331707027933696
20.002135578771608,33.967191425507885
20.110964601654274,33.38632743306329
19.939527078825623,32.84604611489038
19.570218378512667,32.57056284954295
19.16463098968542,32.663136968897135
