nitrogen,algae,rotifers
16.59979758802655,365555009.96671,19546.975017913323
25.869917881263923,329706216.2205048,16559.422016194312
24.60994196024384,599189689.6772966,15019.016837863575
3.692442515740231,1260284595.939334,17492.30268226756
5.90708770280142,731105544.5387563,20608.191829069663
14.0500078737168,406695236.23988414,20138.62160850448
24.110234082593838,318267693.07246774,17260.72663759456
26.72107654438246,486654489.6127704,15106.394987722344
7.441824958056057,1214735660.280153,16512.359690846286
4.735474428683251,850792377.2565689,20138.693560656637
11.643084110095808,461455026.6217373,20579.97715346361
21.93890704123857,320171105.0311755,18008.26202073052
27.463209523348212,410674175.57916254,15405.019001128428
14.122631834604729,1003364536.9399258,15724.076456915353
3.854916339164955,985336602.6076657,19457.824907515267
9.476145078944183,530778347.5118421,20830.035571498294
19.5007398642966,334504700.10530657,18757.948796529283
27.1585217789715,361442855.8700701,15874.02385473456
20.118614862882133,784932513.318346,15227.917170135464
3.291234933346064,1128614842.508103,18601.57291208941
7.614249655068518,615604692.1530923,20859.068246117527
16.935394113661136,361166967.1412431,19461.550980141365
26.060312999931817,332262646.5481064,16473.840574481375
24.21624372689781,617106200.9606372,15025.30305095223
3.513915845683488,1250948547.6875043,17623.591777641333
6.081853649105398,716766174.2484266,20652.37693921293
14.375126055549227,400607510.67502296,20069.37583290255
24.36510202537891,318974738.5506752,17166.137281773583
26.53056915872953,498994600.33668965,15082.43718438768
6.707755614846841,1233356873.6989892,16632.838668408687
4.871027292433716,834313278.9614344,20212.371445262776
11.94465908034288,453522215.8431708,20532.56094878441
22.23952295711256,319213350.3825216,17909.873962493115
27.431670837471746,418877894.43216646,15355.734170103216
13.235633230333756,1033823284.5973978,15811.115023027483
3.9535919557721706,967099671.1633404,19557.367082625824
9.74213701800169,520889304.1595909,20809.489160940266
19.828285446199565,331946704.70823675,18661.887158583457
27.2478884418066,366604657.1320993,15804.71081656328
19.44053557582688,810811305.9609846,15275.372643321149
3.340273839583072,1109994500.2383456,18721.34423398293
7.8381195255254,603651462.0337918,20868.47913270219
17.271816666375237,356987089.2558815,19374.30647327349
26.24068679140795,335097506.16461325,16389.72602340075
23.79022735730187,635933902.065829,15036.221504369583
3.3852456623106377,1239199388.9421225,17755.145832448678
6.263033486164364,702634150.3747783,20692.787365947355
14.704230835904909,394715046.67330194,19997.29555653595
24.613829462587585,319898299.3761686,17072.108889887248
26.3182227713032,511950020.50544,15061.612666449442
6.037408900339668,1248574143.8885002,16756.007850042897
5.0112749024963605,818121936.1712701,20282.28605513944
12.24964467624248,445846073.4830109,20482.060515317586
22.53500982903804,318463795.9250084,17811.753273160313
27.38227347672509,427530744.51474285,15309.40901787124
12.34008688250027,1064050599.8462734,15902.85389658013
4.056828124606028,949100769.7770606,19653.558823141637
10.012516681454324,511287192.1354521,20785.293214911984
20.152686357040334,329599690.24395055,18565.376465958565
27.323193587980217,372100834.9040018,15737.86983236288
18.730429271423084,837540099.0950975,15327.808197105984
3.3981908440688886,1091290595.4897814,18838.616474542265
8.067123465702894,591998050.0918773,20873.883927252795
17.607274911982145,353030241.1870968,19285.75957429581
26.41041937206725,338195208.881444,16307.410139147025
23.335014164573668,655565189.2795712,15051.468843157136
3.2989303174472773,1225627495.145162,17885.25298473538
6.448636807106063,688860957.8261954,20729.00682203097
15.033328754678749,389084122.2524754,19923.29381259495
24.85367457660526,321061681.09692264,16979.431630835126
26.07946505038181,525583729.44350576,15045.06177734008
5.443188284797795,1259782308.4266226,16881.968582414986
5.156678152416212,802182394.8502246,20348.540216681657
12.55859190495229,438406205.58057696,20428.43261665502
22.825657329580384,317924011.6287341,17713.786807778124
27.31399004888031,436676816.48952585,15266.07954597441
11.439078775956334,1093860185.5214808,15999.581141860355
4.165004646977668,931277232.40352,19746.727892129817
10.28829719487902,501928844.2373201,20757.40994179763
20.47484177640664,327455818.6445374,18468.159011085423
27.384268588010688,377965977.74687207,15673.305612528531
17.986568098740598,865170138.562224,15385.45286826053
3.464046099388409,1072492753.1874496,18953.795579546026
8.302284208324952,580589702.6399608,20875.326698510973
17.943215883160615,349273788.7172244,19195.569270253967
26.569968604352265,341579210.23178923,16226.559800393965
22.84691435555933,676148787.4038818,15071.245153504437
3.2461866333487244,1210525071.847674,18014.84425532004
6.640590750987008,675313566.509033,20761.33797701056
15.365579194775764,383650868.5342743,19846.73234598195
25.0866334140414,322448999.4900082,16887.522286550688
25.81709471735693,539885774.2099952,15031.876151307411
4.9264297843492,1267047392.1792989,17009.766616290195
5.306940055040552,786533241.7360302,20410.95424804331
12.87057290613425,431216513.1502545,20371.90042054555
23.110661924297965,317594143.4619822,17616.25531153926
27.226601199495477,446311406.6810535,15225.857287349383
10.544303965035857,1122769577.4736526,16100.744006827968
4.277628938910764,913713967.7566876,19836.42246577444
10.56826307298175,492848703.73566365,20726.01227839548
